Target,cell_id,lat,lon,slab2_covered,slab2_regions,slab2_node_count,depth_km,dip_deg,strike_deg,uncertainty_km,Q_slab,A_slab,G_slab,G_v04b_total,G_v04c_total,T13_ever_v04b_%,T13_ever_v04c_%,T18_ever_v04b_%,T18_ever_v04c_%,T18_exact_v04b_%,T18_exact_v04c_%,T18_first_v04b_%,T18_first_v04c_%,Rank_first_v04c_T18,Rank_ever_v04c_T18
Colombia,500,2.5,-77.5,True,sam,8485,86.93027596753151,23.994638043772984,28.24158349066394,13.503149659911136,0.12949652307545942,0.2182055944395372,0.9635086042578042,1.3250320217957208,1.0778059049258282,0.0,0.0,0.06,0.06,0.03,0.03,0.05,0.05,366,472
Flores,428,-7.5,122.5,True,sum,8301,154.01556890392555,28.20538303001758,75.99813884077074,13.30944459603893,0.09344307524400755,0.5715910979443461,1.0066896923520146,1.1580226077414535,1.0005287274365913,0.02,0.02,0.08,0.08,0.02,0.02,0.06,0.06,240,221
