cell_id,lat,lon,distance_km,G_WSM,G_CMT,G_v04b_total,slab2_covered,slab2_node_count,slab2_regions,slab2_depth_km,slab2_dip_deg,slab2_strike_deg,slab2_uncertainty_km,slab2_strike_coherence,Q_slab,A_slab,G_slab,G_v04c_total,T13_exact_none_%,T18_exact_none_%,T13_ever_none_%,T18_ever_none_%,T13_first_none_%,T18_first_none_%,T13_exact_v03_%,T18_exact_v03_%,T13_ever_v03_%,T18_ever_v03_%,T13_first_v03_%,T18_first_v03_%,T13_exact_v04a_%,T18_exact_v04a_%,T13_ever_v04a_%,T18_ever_v04a_%,T13_first_v04a_%,T18_first_v04a_%,T13_exact_v04b_%,T18_exact_v04b_%,T13_ever_v04b_%,T18_ever_v04b_%,T13_first_v04b_%,T18_first_v04b_%,T13_exact_v04c_%,T18_exact_v04c_%,T13_ever_v04c_%,T18_ever_v04c_%,T13_first_v04c_%,T18_first_v04c_%,DeltaEver_v04c_vs_v04b_T18_pp,DeltaExact_v04c_vs_v04b_T18_pp,Rank_first_v04c_T18,Rank_ever_v04c_T18
197,-37.5,167.5,8677.866187704361,1.180834648920957,1.0,1.180834648920957,False,0,,,,,,0.0,0.0,0.5,1.0,1.180834648920957,0.0,0.03,0.01,0.1,0.01,0.09,0.0,0.03,0.01,0.1,0.01,0.09,0.0,0.03,0.01,0.1,0.01,0.09,0.0,0.03,0.01,0.1,0.01,0.09,0.0,0.03,0.01,0.1,0.01,0.09,0.0,0.0,29,83
198,-37.5,172.5,8917.47252076593,1.102706626842305,1.0,1.102706626842305,True,976,ker,200.1170012755506,65.36927968469152,42.402246882378904,16.56298627350597,0.9939188018822877,0.10622973498549547,0.7459796537098711,1.0261303534254236,1.131520740726251,0.0,0.02,0.0,0.04,0.0,0.02,0.0,0.02,0.0,0.04,0.0,0.02,0.0,0.02,0.0,0.04,0.0,0.02,0.0,0.02,0.0,0.04,0.0,0.02,0.0,0.02,0.0,0.04,0.0,0.02,0.0,0.0,818,762
199,-37.5,177.5,9179.901000413174,1.031731443011264,1.0,1.031731443011264,True,7937,ker,23.169467622387945,12.519592016319745,29.510384927553115,7.093233715823369,0.9624048027066481,0.35775107958369917,0.33856617164159697,0.9422468736234517,0.972145726596376,0.0,0.02,0.01,0.05,0.01,0.04,0.0,0.03,0.01,0.06,0.01,0.04,0.0,0.05,0.01,0.07,0.01,0.03,0.0,0.04,0.01,0.07,0.01,0.04,0.0,0.03,0.01,0.06,0.01,0.04,-0.010000000000000009,-0.010000000000000002,526,472
200,-32.5,-177.5,9048.862958961561,1.130177580154156,1.0608048991004362,1.1988979138810045,True,4920,ker,25.210865762751883,13.87777100733085,22.347274927639987,14.048290303357886,0.9955826840859915,0.1203601042503341,0.3445773987591291,0.9812933195117907,1.1090357092672747,0.0,0.02,0.0,0.04,0.0,0.03,0.0,0.02,0.0,0.04,0.0,0.03,0.0,0.02,0.0,0.04,0.0,0.03,0.0,0.01,0.0,0.04,0.0,0.03,0.0,0.02,0.0,0.04,0.0,0.03,0.0,0.01,665,762
201,-32.5,-172.5,9372.118974434454,1.148463451260583,1.0462164656416015,1.2015413728964028,False,0,,,,,,0.0,0.0,0.5,1.0,1.2015413728964028,0.0,0.02,0.01,0.04,0.01,0.03,0.0,0.02,0.01,0.04,0.01,0.03,0.0,0.02,0.01,0.04,0.01,0.03,0.0,0.02,0.01,0.04,0.01,0.03,0.0,0.02,0.01,0.04,0.01,0.03,0.0,0.0,665,762
202,-32.5,-167.5,9712.625864789748,1.1364405291276936,1.0243488896085928,1.1641115941181546,False,0,,,,,,0.0,0.0,0.5,1.0,1.1641115941181546,0.0,0.04,0.0,0.08,0.0,0.07,0.0,0.04,0.0,0.08,0.0,0.07,0.0,0.04,0.0,0.08,0.0,0.07,0.0,0.05,0.0,0.08,0.0,0.06,0.0,0.04,0.0,0.08,0.0,0.07,0.0,-0.010000000000000002,135,221
203,-32.5,-162.5,10068.571189864793,0.9950090302355367,1.0,0.9950090302355367,False,0,,,,,,0.0,0.0,0.5,1.0,0.9950090302355367,0.01,0.01,0.01,0.05,0.01,0.04,0.0,0.01,0.01,0.05,0.01,0.04,0.0,0.01,0.01,0.05,0.01,0.04,0.0,0.01,0.01,0.05,0.01,0.04,0.0,0.01,0.01,0.05,0.01,0.04,0.0,0.0,526,618
204,-32.5,-157.5,10438.309148169785,0.9773738015207623,1.0,0.9773738015207623,False,0,,,,,,0.0,0.0,0.5,1.0,0.9773738015207623,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.04,0.0,0.04,0.0,0.02,0.0,0.04,0.0,0.04,0.0,0.01,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.0,818,762
205,-32.5,-152.5,10820.355178917453,0.9781027304102178,1.0,0.9781027304102178,False,0,,,,,,0.0,0.0,0.5,1.0,0.9781027304102178,0.01,0.05,0.02,0.09,0.02,0.06,0.0,0.04,0.02,0.09,0.02,0.06,0.0,0.04,0.02,0.09,0.02,0.06,0.0,0.04,0.02,0.09,0.02,0.06,0.0,0.04,0.02,0.09,0.02,0.06,0.0,0.0,240,146
206,-32.5,-147.5,11213.376388351953,0.9596466457118666,1.0,0.9596466457118666,False,0,,,,,,0.0,0.0,0.5,1.0,0.9596466457118666,0.01,0.05,0.02,0.06,0.01,0.03,0.01,0.04,0.02,0.06,0.01,0.03,0.01,0.04,0.02,0.06,0.01,0.03,0.01,0.04,0.02,0.06,0.01,0.03,0.01,0.04,0.02,0.06,0.01,0.03,0.0,0.0,665,472
207,-32.5,-142.5,11616.179648731702,1.0143287959597405,1.0,1.0143287959597405,False,0,,,,,,0.0,0.0,0.5,1.0,1.0143287959597405,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.02,0.0,0.03,0.0,0.02,0.0,0.0,818,868
208,-32.5,-137.5,12027.69869070994,1.0316665597638712,1.0,1.0316665597638712,False,0,,,,,,0.0,0.0,0.5,1.0,1.0316665597638712,0.0,0.03,0.01,0.06,0.01,0.04,0.0,0.04,0.01,0.06,0.01,0.03,0.0,0.04,0.01,0.06,0.01,0.03,0.0,0.04,0.01,0.06,0.01,0.03,0.0,0.04,0.01,0.06,0.01,0.03,0.0,0.0,665,472
209,-32.5,-132.5,12446.98108272195,1.0236541516936644,1.0,1.0236541516936644,False,0,,,,,,0.0,0.0,0.5,1.0,1.0236541516936644,0.0,0.03,0.0,0.04,0.0,0.03,0.0,0.02,0.0,0.04,0.0,0.03,0.0,0.02,0.0,0.04,0.0,0.03,0.0,0.02,0.0,0.04,0.0,0.03,0.0,0.02,0.0,0.04,0.0,0.03,0.0,0.0,665,762
210,-32.5,-127.5,12873.175665581792,1.0039282562513332,1.0,1.0039282562513332,False,0,,,,,,0.0,0.0,0.5,1.0,1.0039282562513332,0.0,0.01,0.02,0.05,0.02,0.05,0.0,0.01,0.02,0.05,0.02,0.05,0.0,0.01,0.02,0.05,0.02,0.05,0.0,0.01,0.02,0.05,0.02,0.05,0.0,0.01,0.02,0.05,0.02,0.05,0.0,0.0,366,618
211,-32.5,-122.5,13305.520774186854,1.3010557695507659,1.0,1.3010557695507659,False,0,,,,,,0.0,0.0,0.5,1.0,1.3010557695507659,0.0,0.05,0.01,0.08,0.01,0.06,0.0,0.06,0.01,0.08,0.01,0.05,0.0,0.07,0.01,0.09,0.01,0.06,0.0,0.07,0.01,0.09,0.01,0.06,0.0,0.07,0.01,0.09,0.01,0.06,0.0,0.0,240,146
212,-32.5,-117.5,13743.333413671076,1.3166770897299087,1.0,1.3166770897299087,False,0,,,,,,0.0,0.0,0.5,1.0,1.3166770897299087,0.0,0.04,0.01,0.07,0.01,0.06,0.0,0.04,0.01,0.07,0.01,0.05,0.0,0.03,0.01,0.07,0.01,0.05,0.0,0.03,0.01,0.07,0.01,0.05,0.0,0.03,0.01,0.07,0.01,0.05,0.0,0.0,366,339
213,-32.5,-112.5,14185.99944735918,1.3292135925514945,1.0,1.3292135925514945,False,0,,,,,,0.0,0.0,0.5,1.0,1.3292135925514945,0.0,0.02,0.0,0.03,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.01,0.0,0.0,913,868
214,-32.5,-107.5,14632.964783630689,1.3592090836500241,1.0,1.3592090836500241,False,0,,,,,,0.0,0.0,0.5,1.0,1.3592090836500241,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,818,918
215,-32.5,-102.5,15083.727506459656,1.3879700499646912,1.0,1.3879700499646912,False,0,,,,,,0.0,0.0,0.5,1.0,1.3879700499646912,0.0,0.04,0.01,0.11,0.01,0.07,0.0,0.04,0.01,0.11,0.01,0.07,0.0,0.04,0.01,0.11,0.01,0.07,0.0,0.04,0.01,0.11,0.01,0.07,0.0,0.04,0.01,0.11,0.01,0.07,0.0,0.0,135,40
216,-32.5,-97.5,15537.830870924323,1.3933418316630999,1.0,1.3933418316630999,False,0,,,,,,0.0,0.0,0.5,1.0,1.3933418316630999,0.0,0.04,0.02,0.1,0.02,0.07,0.0,0.04,0.02,0.1,0.02,0.07,0.0,0.04,0.02,0.1,0.02,0.07,0.0,0.04,0.02,0.1,0.02,0.07,0.0,0.04,0.02,0.1,0.02,0.07,0.0,0.0,135,83
217,-32.5,-92.5,15994.85707365315,1.3681263791260367,1.0,1.3681263791260367,False,0,,,,,,0.0,0.0,0.5,1.0,1.3681263791260367,0.0,0.01,0.0,0.04,0.0,0.03,0.0,0.02,0.0,0.04,0.0,0.02,0.0,0.02,0.0,0.04,0.0,0.02,0.0,0.02,0.0,0.04,0.0,0.02,0.0,0.02,0.0,0.04,0.0,0.02,0.0,0.0,818,762
218,-32.5,-87.5,16454.421703853,1.3429827489213106,1.0,1.3429827489213106,False,0,,,,,,0.0,0.0,0.5,1.0,1.3429827489213106,0.0,0.05,0.0,0.05,0.0,0.02,0.0,0.05,0.0,0.05,0.0,0.02,0.0,0.05,0.0,0.05,0.0,0.02,0.0,0.05,0.0,0.05,0.0,0.02,0.0,0.05,0.0,0.05,0.0,0.02,0.0,0.0,818,618
219,-32.5,-82.5,16916.168778679246,0.8200111854489619,1.0,0.8200111854489619,False,0,,,,,,0.0,0.0,0.5,1.0,0.8200111854489619,0.0,0.04,0.01,0.08,0.01,0.06,0.0,0.04,0.01,0.08,0.01,0.06,0.0,0.04,0.01,0.08,0.01,0.06,0.0,0.04,0.01,0.08,0.01,0.06,0.0,0.04,0.01,0.08,0.01,0.06,0.0,0.0,240,221
220,-32.5,-77.5,17379.766261000397,0.8332992685032846,1.0,0.8332992685032846,False,0,,,,,,0.0,0.0,0.5,1.0,0.8332992685032846,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,665,868
221,-32.5,-72.5,17844.901932822842,0.8001137026483189,1.0,0.8001137026483189,True,5729,sam,30.786248492737307,15.202329064295599,9.4917014086143,11.689204985268645,0.9519332107782957,0.18391290959982845,0.48329532901288885,0.9969277953548525,0.7976555896143966,0.0,0.04,0.01,0.11,0.01,0.09,0.0,0.05,0.01,0.11,0.01,0.08,0.0,0.05,0.01,0.11,0.01,0.07,0.0,0.05,0.01,0.11,0.01,0.07,0.0,0.05,0.01,0.11,0.01,0.07,0.0,0.0,135,40
222,-32.5,-67.5,18311.279397176222,0.7633684066536051,1.0,0.7633684066536051,True,10000,sam,144.39072848999842,21.08469236969667,28.117432946087902,28.787744719297734,0.5945587880243955,0.020225804510646254,0.5358637296521744,1.0007253727849676,0.7639221333206957,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.0,818,868
223,-32.5,97.5,8032.564017996032,1.0277255305826896,1.0,1.0277255305826896,False,0,,,,,,0.0,0.0,0.5,1.0,1.0277255305826896,0.0,0.01,0.01,0.04,0.01,0.03,0.0,0.02,0.01,0.05,0.01,0.04,0.0,0.02,0.01,0.05,0.01,0.04,0.0,0.02,0.01,0.05,0.01,0.04,0.0,0.02,0.01,0.05,0.01,0.04,0.0,0.0,526,618
224,-32.5,102.5,7819.678690052792,0.9590888624518309,1.0,0.9590888624518309,False,0,,,,,,0.0,0.0,0.5,1.0,0.9590888624518309,0.0,0.02,0.02,0.06,0.02,0.05,0.0,0.02,0.02,0.06,0.02,0.05,0.0,0.02,0.02,0.06,0.02,0.05,0.0,0.02,0.02,0.06,0.02,0.05,0.0,0.02,0.02,0.06,0.02,0.05,0.0,0.0,366,472
225,-32.5,107.5,7636.842561528321,1.1205793313641652,1.0,1.1205793313641652,False,0,,,,,,0.0,0.0,0.5,1.0,1.1205793313641652,0.0,0.03,0.0,0.08,0.0,0.06,0.0,0.02,0.0,0.08,0.0,0.07,0.0,0.01,0.0,0.08,0.0,0.07,0.0,0.01,0.0,0.08,0.0,0.07,0.0,0.01,0.0,0.08,0.0,0.07,0.0,0.0,135,221
226,-32.5,112.5,7486.290780634635,1.044995376305496,1.0,1.044995376305496,False,0,,,,,,0.0,0.0,0.5,1.0,1.044995376305496,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.02,0.0,0.06,0.0,0.05,0.0,0.02,0.0,0.06,0.0,0.05,0.0,0.02,0.0,0.06,0.0,0.05,0.0,0.02,0.0,0.06,0.0,0.05,0.0,0.0,366,472
227,-32.5,117.5,7370.029019767013,0.9581798327437462,1.0,0.9581798327437462,False,0,,,,,,0.0,0.0,0.5,1.0,0.9581798327437462,0.0,0.05,0.01,0.08,0.01,0.04,0.0,0.05,0.01,0.09,0.01,0.04,0.0,0.07,0.01,0.09,0.01,0.03,0.0,0.07,0.01,0.09,0.01,0.03,0.0,0.07,0.01,0.09,0.01,0.03,0.0,0.0,665,146
228,-32.5,122.5,7289.7186429105095,0.8593608817545574,1.0,0.8593608817545574,False,0,,,,,,0.0,0.0,0.5,1.0,0.8593608817545574,0.0,0.03,0.0,0.06,0.0,0.05,0.0,0.03,0.0,0.06,0.0,0.05,0.0,0.03,0.0,0.06,0.0,0.05,0.0,0.03,0.0,0.06,0.0,0.05,0.0,0.03,0.0,0.06,0.0,0.05,0.0,0.0,366,472
229,-32.5,127.5,7246.569062816682,0.8273988607271134,1.0,0.8273988607271134,False,0,,,,,,0.0,0.0,0.5,1.0,0.8273988607271134,0.0,0.04,0.02,0.11,0.02,0.09,0.0,0.05,0.02,0.11,0.02,0.07,0.0,0.05,0.02,0.11,0.02,0.07,0.0,0.05,0.02,0.11,0.02,0.07,0.0,0.05,0.02,0.11,0.02,0.07,0.0,0.0,135,40
230,-32.5,132.5,7241.252069499203,0.9890558918130044,1.0,0.9890558918130044,False,0,,,,,,0.0,0.0,0.5,1.0,0.9890558918130044,0.0,0.04,0.0,0.09,0.0,0.07,0.0,0.05,0.0,0.1,0.0,0.08,0.0,0.05,0.0,0.1,0.0,0.08,0.0,0.05,0.0,0.1,0.0,0.08,0.0,0.05,0.0,0.1,0.0,0.08,0.0,0.0,66,83
231,-32.5,137.5,7273.851537344671,1.0812715392146728,1.0,1.0812715392146728,False,0,,,,,,0.0,0.0,0.5,1.0,1.0812715392146728,0.0,0.01,0.02,0.04,0.02,0.03,0.01,0.01,0.03,0.04,0.03,0.03,0.01,0.01,0.03,0.04,0.03,0.03,0.01,0.01,0.03,0.04,0.03,0.03,0.01,0.01,0.03,0.04,0.03,0.03,0.0,0.0,665,762
232,-32.5,142.5,7343.85700909552,1.0102481725553405,1.0,1.0102481725553405,False,0,,,,,,0.0,0.0,0.5,1.0,1.0102481725553405,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.0,913,918
233,-32.5,147.5,7450.20227291308,0.9527948796811867,1.0,0.9527948796811867,False,0,,,,,,0.0,0.0,0.5,1.0,0.9527948796811867,0.0,0.03,0.0,0.08,0.0,0.07,0.0,0.03,0.0,0.08,0.0,0.07,0.0,0.03,0.0,0.08,0.0,0.07,0.0,0.03,0.0,0.08,0.0,0.07,0.0,0.03,0.0,0.08,0.0,0.07,0.0,0.0,135,221
234,-32.5,152.5,7591.342329964617,0.9904985722154237,1.0,0.9904985722154237,False,0,,,,,,0.0,0.0,0.5,1.0,0.9904985722154237,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.0,818,762
235,-32.5,157.5,7765.356383356088,0.9463402885177815,1.0,0.9463402885177815,False,0,,,,,,0.0,0.0,0.5,1.0,0.9463402885177815,0.0,0.04,0.01,0.06,0.01,0.05,0.0,0.03,0.01,0.06,0.01,0.04,0.0,0.03,0.01,0.06,0.01,0.04,0.0,0.03,0.01,0.06,0.01,0.04,0.0,0.03,0.01,0.06,0.01,0.04,0.0,0.0,526,472
236,-32.5,162.5,7970.062089428973,0.8525282961223083,1.0,0.8525282961223083,False,0,,,,,,0.0,0.0,0.5,1.0,0.8525282961223083,0.0,0.01,0.0,0.03,0.0,0.03,0.0,0.01,0.0,0.03,0.0,0.03,0.0,0.01,0.0,0.03,0.0,0.03,0.0,0.01,0.0,0.03,0.0,0.03,0.0,0.01,0.0,0.03,0.0,0.03,0.0,0.0,665,868
237,-32.5,167.5,8203.127366448265,0.8467759170878442,1.0,0.8467759170878442,False,0,,,,,,0.0,0.0,0.5,1.0,0.8467759170878442,0.0,0.01,0.0,0.06,0.0,0.06,0.0,0.01,0.0,0.06,0.0,0.06,0.0,0.01,0.0,0.06,0.0,0.06,0.0,0.01,0.0,0.06,0.0,0.06,0.0,0.01,0.0,0.06,0.0,0.06,0.0,0.0,240,472
238,-32.5,172.5,8462.16950361293,0.9366303236721729,1.0396088015216642,0.9737291282616761,False,0,,,,,,0.0,0.0,0.5,1.0,0.9737291282616761,0.0,0.02,0.01,0.05,0.01,0.05,0.0,0.02,0.01,0.06,0.01,0.06,0.0,0.02,0.01,0.06,0.01,0.06,0.0,0.02,0.01,0.06,0.01,0.06,0.0,0.02,0.01,0.06,0.01,0.06,0.0,0.0,240,472
239,-32.5,177.5,8744.835673004914,1.0500675653526164,1.0579104668620245,1.1108774682988558,True,2599,ker,211.64653676159708,57.20244210178668,25.661925035061042,32.18899941076034,0.9872760078993937,0.027776541847014165,0.952816429870955,1.0125776745133261,1.0632749734066225,0.0,0.04,0.0,0.04,0.0,0.02,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.0,818,762
240,-27.5,-177.5,8637.840420642178,1.1373825104746522,1.078735286288158,1.226934648056018,True,8605,ker,63.159741254175955,19.45021381373005,13.542322142126674,15.397221100229252,0.9403190881878641,0.08810461883305347,0.43857554174318886,0.9945882215182569,1.1312272482789545,0.0,0.03,0.01,0.06,0.01,0.05,0.0,0.02,0.01,0.07,0.01,0.06,0.0,0.03,0.01,0.08,0.01,0.07,0.0,0.03,0.01,0.08,0.01,0.07,0.0,0.03,0.01,0.08,0.01,0.07,0.0,0.0,135,221
241,-27.5,-172.5,8981.215431059914,1.1201404408259878,1.0500144612345907,1.1761636614809765,False,0,,,,,,0.0,0.0,0.5,1.0,1.1761636614809765,0.0,0.01,0.0,0.06,0.0,0.05,0.01,0.03,0.01,0.07,0.01,0.05,0.01,0.02,0.01,0.07,0.01,0.06,0.01,0.02,0.01,0.07,0.01,0.06,0.01,0.02,0.01,0.07,0.01,0.06,0.0,0.0,240,339
242,-27.5,-167.5,9341.557423407034,1.0861322057960154,1.0170233445647046,1.1046218085781037,False,0,,,,,,0.0,0.0,0.5,1.0,1.1046218085781037,0.02,0.02,0.02,0.11,0.02,0.1,0.02,0.03,0.02,0.11,0.02,0.09,0.02,0.03,0.02,0.11,0.02,0.09,0.02,0.03,0.02,0.11,0.02,0.09,0.02,0.03,0.02,0.11,0.02,0.09,0.0,0.0,29,40
243,-27.5,-162.5,9716.91161041477,1.0,0.9970929191815558,0.9970929191815558,False,0,,,,,,0.0,0.0,0.5,1.0,0.9970929191815558,0.0,0.02,0.01,0.05,0.01,0.03,0.0,0.02,0.01,0.05,0.01,0.03,0.0,0.02,0.01,0.05,0.01,0.03,0.0,0.02,0.01,0.05,0.01,0.03,0.0,0.02,0.01,0.05,0.01,0.03,0.0,0.0,665,618
244,-27.5,-157.5,10105.532582211039,0.9982421263898774,1.0,0.9982421263898774,False,0,,,,,,0.0,0.0,0.5,1.0,0.9982421263898774,0.0,0.03,0.01,0.07,0.01,0.05,0.0,0.03,0.01,0.07,0.01,0.05,0.0,0.03,0.01,0.07,0.01,0.05,0.0,0.03,0.01,0.07,0.01,0.05,0.0,0.03,0.01,0.07,0.01,0.05,0.0,0.0,366,339
245,-27.5,-152.5,10505.86975782007,0.9772576751480708,1.0,0.9772576751480708,False,0,,,,,,0.0,0.0,0.5,1.0,0.9772576751480708,0.0,0.05,0.0,0.06,0.0,0.02,0.0,0.05,0.0,0.06,0.0,0.02,0.0,0.05,0.0,0.06,0.0,0.02,0.0,0.05,0.0,0.06,0.0,0.02,0.0,0.05,0.0,0.06,0.0,0.02,0.0,0.0,818,472
246,-27.5,-147.5,10916.549624021014,0.9563510538680271,1.0,0.9563510538680271,False,0,,,,,,0.0,0.0,0.5,1.0,0.9563510538680271,0.0,0.02,0.01,0.06,0.01,0.05,0.0,0.02,0.01,0.06,0.01,0.05,0.0,0.02,0.01,0.06,0.01,0.05,0.0,0.02,0.01,0.06,0.01,0.05,0.0,0.02,0.01,0.06,0.01,0.05,0.0,0.0,366,472
247,-27.5,-142.5,11336.356779706595,1.0565076797539132,1.0,1.0565076797539132,False,0,,,,,,0.0,0.0,0.5,1.0,1.0565076797539132,0.01,0.05,0.01,0.06,0.0,0.03,0.01,0.05,0.01,0.06,0.0,0.03,0.01,0.05,0.01,0.06,0.0,0.03,0.01,0.05,0.01,0.06,0.0,0.03,0.01,0.05,0.01,0.06,0.0,0.03,0.0,0.0,665,472
248,-27.5,-137.5,11764.215056792289,1.076744149239283,1.0,1.076744149239283,False,0,,,,,,0.0,0.0,0.5,1.0,1.076744149239283,0.01,0.07,0.01,0.08,0.01,0.01,0.01,0.07,0.01,0.08,0.01,0.01,0.01,0.07,0.01,0.08,0.01,0.01,0.01,0.07,0.01,0.08,0.01,0.01,0.01,0.07,0.01,0.08,0.01,0.01,0.0,0.0,913,221
249,-27.5,-132.5,12199.16943241598,1.0226365741814327,1.0,1.0226365741814327,False,0,,,,,,0.0,0.0,0.5,1.0,1.0226365741814327,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,913,950
250,-27.5,-127.5,12640.369044343497,0.9426491331363651,1.0,0.9426491331363651,False,0,,,,,,0.0,0.0,0.5,1.0,0.9426491331363651,0.0,0.04,0.01,0.09,0.01,0.06,0.0,0.04,0.01,0.09,0.01,0.06,0.0,0.04,0.01,0.09,0.01,0.06,0.0,0.04,0.01,0.09,0.01,0.06,0.0,0.04,0.01,0.09,0.01,0.06,0.0,0.0,240,146
251,-27.5,-122.5,13087.051325741602,1.2997878944355357,1.0,1.2997878944355357,False,0,,,,,,0.0,0.0,0.5,1.0,1.2997878944355357,0.0,0.03,0.0,0.06,0.0,0.05,0.0,0.03,0.0,0.07,0.0,0.06,0.0,0.03,0.0,0.07,0.0,0.06,0.0,0.03,0.0,0.07,0.0,0.06,0.0,0.03,0.0,0.07,0.0,0.06,0.0,0.0,240,339
252,-27.5,-117.5,13538.52703764352,1.2912229295345972,1.0,1.2912229295345972,False,0,,,,,,0.0,0.0,0.5,1.0,1.2912229295345972,0.0,0.01,0.0,0.04,0.0,0.03,0.0,0.01,0.0,0.04,0.0,0.03,0.0,0.01,0.0,0.04,0.0,0.03,0.0,0.01,0.0,0.04,0.0,0.03,0.0,0.01,0.0,0.04,0.0,0.03,0.0,0.0,665,762
253,-27.5,-112.5,13994.165743108424,1.2634492424875647,1.0,1.2634492424875647,False,0,,,,,,0.0,0.0,0.5,1.0,1.2634492424875647,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.0,818,918
254,-27.5,-107.5,14453.380964759008,1.2703331773200937,1.0,1.2703331773200937,False,0,,,,,,0.0,0.0,0.5,1.0,1.2703331773200937,0.0,0.01,0.01,0.05,0.01,0.04,0.0,0.02,0.01,0.05,0.01,0.03,0.0,0.01,0.01,0.05,0.01,0.04,0.0,0.01,0.01,0.05,0.01,0.04,0.0,0.01,0.01,0.05,0.01,0.04,0.0,0.0,526,618
255,-27.5,-102.5,14915.613780967451,1.3384402977943477,1.0,1.3384402977943477,False,0,,,,,,0.0,0.0,0.5,1.0,1.3384402977943477,0.0,0.0,0.01,0.06,0.01,0.06,0.0,0.0,0.01,0.06,0.01,0.06,0.0,0.0,0.01,0.06,0.01,0.06,0.0,0.0,0.01,0.06,0.01,0.06,0.0,0.0,0.01,0.06,0.01,0.06,0.0,0.0,240,472
256,-27.5,-97.5,15380.312722378505,1.3902263187642674,1.0,1.3902263187642674,False,0,,,,,,0.0,0.0,0.5,1.0,1.3902263187642674,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.01,0.0,0.05,0.0,0.04,0.0,0.0,526,618
257,-27.5,-92.5,15846.906049243798,1.236052399148066,1.0,1.236052399148066,False,0,,,,,,0.0,0.0,0.5,1.0,1.236052399148066,0.0,0.03,0.01,0.04,0.01,0.02,0.0,0.04,0.01,0.05,0.01,0.03,0.0,0.04,0.01,0.05,0.01,0.03,0.0,0.04,0.01,0.05,0.01,0.03,0.0,0.04,0.01,0.05,0.01,0.03,0.0,0.0,665,618
258,-27.5,-87.5,16314.758691857376,0.9347012825679246,1.0,0.9347012825679246,False,0,,,,,,0.0,0.0,0.5,1.0,0.9347012825679246,0.0,0.04,0.0,0.05,0.0,0.02,0.0,0.04,0.0,0.05,0.0,0.02,0.0,0.04,0.0,0.05,0.0,0.02,0.0,0.04,0.0,0.05,0.0,0.02,0.0,0.04,0.0,0.05,0.0,0.02,0.0,0.0,818,618
