cell_id,lat,lon,distance_km,G_WSM,G_CMT,G_v04b_total,slab2_covered,slab2_node_count,slab2_regions,slab2_depth_km,slab2_dip_deg,slab2_strike_deg,slab2_uncertainty_km,slab2_strike_coherence,Q_slab,A_slab,G_slab,G_v04c_total,T13_exact_none_%,T18_exact_none_%,T13_ever_none_%,T18_ever_none_%,T13_first_none_%,T18_first_none_%,T13_exact_v03_%,T18_exact_v03_%,T13_ever_v03_%,T18_ever_v03_%,T13_first_v03_%,T18_first_v03_%,T13_exact_v04a_%,T18_exact_v04a_%,T13_ever_v04a_%,T18_ever_v04a_%,T13_first_v04a_%,T18_first_v04a_%,T13_exact_v04b_%,T18_exact_v04b_%,T13_ever_v04b_%,T18_ever_v04b_%,T13_first_v04b_%,T18_first_v04b_%,T13_exact_v04c_%,T18_exact_v04c_%,T13_ever_v04c_%,T18_ever_v04c_%,T13_first_v04c_%,T18_first_v04c_%,DeltaEver_v04c_vs_v04b_T18_pp,DeltaExact_v04c_vs_v04b_T18_pp,Rank_first_v04c_T18,Rank_ever_v04c_T18
12,-57.5,-117.5,14288.380714017383,0.896955833147756,1.0,0.896955833147756,False,0,,,,,,0.0,0.0,0.5,1.0,0.896955833147756,0.0,0.03,0.01,0.07,0.01,0.06,0.0,0.04,0.01,0.08,0.01,0.07,0.0,0.04,0.01,0.08,0.01,0.07,0.0,0.04,0.01,0.08,0.01,0.07,0.0,0.04,0.01,0.08,0.01,0.07,0.0,0.0,135,221
13,-57.5,-112.5,14587.03566479773,0.8578898833662366,1.0,0.8578898833662366,False,0,,,,,,0.0,0.0,0.5,1.0,0.8578898833662366,0.01,0.07,0.01,0.09,0.0,0.04,0.01,0.07,0.01,0.09,0.0,0.04,0.01,0.07,0.01,0.09,0.0,0.04,0.01,0.07,0.01,0.09,0.0,0.04,0.01,0.07,0.01,0.09,0.0,0.04,0.0,0.0,526,146
14,-57.5,-107.5,14884.749448648645,0.8181440312915549,1.0,0.8181440312915549,False,0,,,,,,0.0,0.0,0.5,1.0,0.8181440312915549,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,913,950
15,-57.5,-102.5,15179.662026552174,0.8150184567775685,1.0,0.8150184567775685,False,0,,,,,,0.0,0.0,0.5,1.0,0.8150184567775685,0.0,0.03,0.0,0.04,0.0,0.03,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.03,0.0,0.04,0.0,0.02,0.0,0.0,818,762
16,-57.5,-97.5,15469.615222060622,1.0139954837833711,1.0,1.0139954837833711,False,0,,,,,,0.0,0.0,0.5,1.0,1.0139954837833711,0.0,0.02,0.01,0.05,0.01,0.05,0.0,0.02,0.01,0.05,0.01,0.05,0.0,0.02,0.01,0.05,0.01,0.05,0.0,0.02,0.01,0.05,0.01,0.05,0.0,0.02,0.01,0.05,0.01,0.05,0.0,0.0,366,618
17,-57.5,-92.5,15752.06176999897,1.0405237617016234,1.0,1.0405237617016234,False,0,,,,,,0.0,0.0,0.5,1.0,1.0405237617016234,0.01,0.03,0.02,0.07,0.02,0.05,0.01,0.03,0.02,0.07,0.02,0.05,0.01,0.03,0.02,0.07,0.02,0.05,0.01,0.03,0.02,0.07,0.02,0.05,0.01,0.03,0.02,0.07,0.02,0.05,0.0,0.0,366,339
18,-57.5,-87.5,16023.956474734003,1.0561257730341025,1.0,1.0561257730341025,False,0,,,,,,0.0,0.0,0.5,1.0,1.0561257730341025,0.0,0.09,0.01,0.16,0.01,0.1,0.0,0.09,0.01,0.16,0.01,0.09,0.0,0.09,0.01,0.16,0.01,0.09,0.0,0.09,0.01,0.16,0.01,0.09,0.0,0.09,0.01,0.16,0.01,0.09,0.0,0.0,29,1
19,-57.5,-82.5,16281.634926522527,0.9727333382416697,1.0,0.9727333382416697,False,0,,,,,,0.0,0.0,0.5,1.0,0.9727333382416697,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,818,918
20,-57.5,-77.5,16520.69723500195,0.7670638223383446,1.0,0.7670638223383446,False,0,,,,,,0.0,0.0,0.5,1.0,0.7670638223383446,0.0,0.01,0.01,0.04,0.01,0.04,0.0,0.01,0.01,0.04,0.01,0.03,0.0,0.01,0.01,0.04,0.01,0.03,0.0,0.01,0.01,0.04,0.01,0.03,0.0,0.01,0.01,0.04,0.01,0.03,0.0,0.0,665,762
21,-57.5,-72.5,16735.93613931766,0.7760144646810943,1.0,0.7760144646810943,False,0,,,,,,0.0,0.0,0.5,1.0,0.7760144646810943,0.0,0.01,0.0,0.04,0.0,0.03,0.0,0.01,0.0,0.04,0.0,0.03,0.0,0.01,0.0,0.04,0.0,0.03,0.0,0.01,0.0,0.04,0.0,0.03,0.0,0.01,0.0,0.04,0.0,0.03,0.0,0.0,665,762
22,-57.5,-67.5,16921.38149535282,0.9718146375303914,1.0,0.9718146375303914,False,0,,,,,,0.0,0.0,0.5,1.0,0.9718146375303914,0.0,0.03,0.0,0.06,0.0,0.04,0.0,0.03,0.0,0.06,0.0,0.04,0.0,0.03,0.0,0.06,0.0,0.04,0.0,0.03,0.0,0.06,0.0,0.04,0.0,0.03,0.0,0.06,0.0,0.04,0.0,0.0,526,472
23,-57.5,97.5,10489.867287393989,1.1528184382432531,1.0,1.1528184382432531,False,0,,,,,,0.0,0.0,0.5,1.0,1.1528184382432531,0.0,0.03,0.01,0.09,0.01,0.09,0.0,0.02,0.01,0.09,0.01,0.07,0.0,0.01,0.01,0.09,0.01,0.08,0.0,0.02,0.01,0.09,0.01,0.07,0.0,0.02,0.01,0.09,0.01,0.07,0.0,0.0,135,146
24,-57.5,102.5,10361.14494146551,1.1327037587272304,1.0,1.1327037587272304,False,0,,,,,,0.0,0.0,0.5,1.0,1.1327037587272304,0.01,0.04,0.01,0.06,0.01,0.04,0.01,0.03,0.01,0.06,0.01,0.04,0.01,0.03,0.01,0.06,0.01,0.04,0.01,0.03,0.01,0.06,0.01,0.04,0.01,0.03,0.01,0.06,0.01,0.04,0.0,0.0,526,472
25,-57.5,107.5,10251.922658999956,0.9970480351020504,1.0,0.9970480351020504,False,0,,,,,,0.0,0.0,0.5,1.0,0.9970480351020504,0.0,0.02,0.0,0.05,0.0,0.05,0.0,0.02,0.0,0.05,0.0,0.05,0.0,0.02,0.0,0.05,0.0,0.05,0.0,0.02,0.0,0.05,0.0,0.05,0.0,0.02,0.0,0.05,0.0,0.05,0.0,0.0,366,618
26,-57.5,112.5,10162.950342890786,0.8120992475565199,1.0,0.8120992475565199,False,0,,,,,,0.0,0.0,0.5,1.0,0.8120992475565199,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.0,818,868
27,-57.5,117.5,10094.859543647444,0.8343323045617091,1.0,0.8343323045617091,False,0,,,,,,0.0,0.0,0.5,1.0,0.8343323045617091,0.0,0.02,0.0,0.06,0.0,0.06,0.0,0.01,0.0,0.06,0.0,0.06,0.0,0.02,0.0,0.06,0.0,0.05,0.0,0.02,0.0,0.06,0.0,0.05,0.0,0.02,0.0,0.06,0.0,0.05,0.0,0.0,366,472
28,-57.5,122.5,10048.146761323473,0.9341396659343497,1.0,0.9341396659343497,False,0,,,,,,0.0,0.0,0.5,1.0,0.9341396659343497,0.0,0.03,0.0,0.09,0.0,0.08,0.0,0.04,0.0,0.1,0.0,0.08,0.0,0.04,0.0,0.1,0.0,0.08,0.0,0.04,0.0,0.1,0.0,0.08,0.0,0.04,0.0,0.1,0.0,0.08,0.0,0.0,66,83
29,-57.5,127.5,10023.159470079992,1.2059373627729322,1.0,1.2059373627729322,False,0,,,,,,0.0,0.0,0.5,1.0,1.2059373627729322,0.01,0.03,0.01,0.07,0.01,0.05,0.0,0.03,0.01,0.08,0.01,0.05,0.0,0.03,0.01,0.08,0.01,0.05,0.0,0.03,0.01,0.08,0.01,0.05,0.0,0.03,0.01,0.08,0.01,0.05,0.0,0.0,366,221
