cell_id,lat,lon,slab2_covered,slab2_node_count,slab2_regions,slab2_depth_km,slab2_dip_deg,slab2_strike_deg,slab2_uncertainty_km,slab2_strike_coherence,Q_slab,A_slab,G_slab
83,-47.5,-162.5,False,0,,,,,,0.0,0.0,0.5,1.0
84,-47.5,-157.5,False,0,,,,,,0.0,0.0,0.5,1.0
85,-47.5,-152.5,False,0,,,,,,0.0,0.0,0.5,1.0
86,-47.5,-147.5,False,0,,,,,,0.0,0.0,0.5,1.0
87,-47.5,-142.5,False,0,,,,,,0.0,0.0,0.5,1.0
88,-47.5,-137.5,False,0,,,,,,0.0,0.0,0.5,1.0
89,-47.5,-132.5,False,0,,,,,,0.0,0.0,0.5,1.0
90,-47.5,-127.5,False,0,,,,,,0.0,0.0,0.5,1.0
91,-47.5,-122.5,False,0,,,,,,0.0,0.0,0.5,1.0
92,-47.5,-117.5,False,0,,,,,,0.0,0.0,0.5,1.0
93,-47.5,-112.5,False,0,,,,,,0.0,0.0,0.5,1.0
94,-47.5,-107.5,False,0,,,,,,0.0,0.0,0.5,1.0
95,-47.5,-102.5,False,0,,,,,,0.0,0.0,0.5,1.0
96,-47.5,-97.5,False,0,,,,,,0.0,0.0,0.5,1.0
97,-47.5,-92.5,False,0,,,,,,0.0,0.0,0.5,1.0
98,-47.5,-87.5,False,0,,,,,,0.0,0.0,0.5,1.0
99,-47.5,-82.5,False,0,,,,,,0.0,0.0,0.5,1.0
100,-47.5,-77.5,True,148,sam,11.14329798479064,9.144352780805642,27.991893787035156,3.3297724756029856,0.957615257593154,0.5940035209554622,0.29885337227306435,0.8805181949018827
101,-47.5,-72.5,True,28,sam,21.365929671685713,15.932840211046425,20.32502356600701,2.7996289134025,0.9985519207464613,0.6193963098196986,0.4721346784810263,0.9827403226792083
102,-47.5,-67.5,False,0,,,,,,0.0,0.0,0.5,1.0
103,-47.5,97.5,False,0,,,,,,0.0,0.0,0.5,1.0
104,-47.5,102.5,False,0,,,,,,0.0,0.0,0.5,1.0
105,-47.5,107.5,False,0,,,,,,0.0,0.0,0.5,1.0
106,-47.5,112.5,False,0,,,,,,0.0,0.0,0.5,1.0
107,-47.5,117.5,False,0,,,,,,0.0,0.0,0.5,1.0
108,-47.5,122.5,False,0,,,,,,0.0,0.0,0.5,1.0
109,-47.5,127.5,False,0,,,,,,0.0,0.0,0.5,1.0
110,-47.5,132.5,False,0,,,,,,0.0,0.0,0.5,1.0
111,-47.5,137.5,False,0,,,,,,0.0,0.0,0.5,1.0
